Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16718268k(8500356k free), swap 19208636k(3944096k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-17T00:23:38.190+0800: 0.087: [GC (Allocation Failure) [PSYoungGen: 65507K->10748K(76288K)] 65507K->21130K(251392K), 0.0033130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:38.202+0800: 0.099: [GC (Allocation Failure) [PSYoungGen: 76196K->10743K(76288K)] 86578K->42702K(251392K), 0.0043929 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:38.213+0800: 0.110: [GC (Allocation Failure) [PSYoungGen: 76279K->10746K(76288K)] 108238K->66504K(251392K), 0.0048535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:38.225+0800: 0.122: [GC (Allocation Failure) [PSYoungGen: 76282K->10748K(76288K)] 132040K->90466K(251392K), 0.0046532 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:38.236+0800: 0.133: [GC (Allocation Failure) [PSYoungGen: 76237K->10738K(76288K)] 155955K->113805K(251392K), 0.0044826 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:38.247+0800: 0.144: [GC (Allocation Failure) [PSYoungGen: 75862K->10738K(76288K)] 178930K->138270K(251392K), 0.0045429 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:38.257+0800: 0.154: [GC (Allocation Failure) [PSYoungGen: 75809K->10739K(76288K)] 203341K->163954K(251392K), 0.0051362 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2022-01-17T00:23:38.263+0800: 0.160: [Full GC (Ergonomics) [PSYoungGen: 10739K->0K(76288K)] [ParOldGen: 153215K->139699K(175104K)] 163954K->139699K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0172800 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.288+0800: 0.184: [GC (Allocation Failure) [PSYoungGen: 65536K->10748K(76288K)] 205235K->160731K(251392K), 0.0026992 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2022-01-17T00:23:38.291+0800: 0.187: [Full GC (Ergonomics) [PSYoungGen: 10748K->0K(76288K)] [ParOldGen: 149982K->153651K(175104K)] 160731K->153651K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0160152 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.312+0800: 0.209: [Full GC (Ergonomics) [PSYoungGen: 65213K->0K(76288K)] [ParOldGen: 153651K->171205K(175104K)] 218864K->171205K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0183959 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.337+0800: 0.234: [Full GC (Ergonomics) [PSYoungGen: 65536K->8439K(76288K)] [ParOldGen: 171205K->174897K(175104K)] 236741K->183336K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0195988 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.362+0800: 0.259: [Full GC (Ergonomics) [PSYoungGen: 65080K->20519K(76288K)] [ParOldGen: 174897K->174691K(175104K)] 239977K->195211K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0202152 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.387+0800: 0.284: [Full GC (Ergonomics) [PSYoungGen: 65536K->28451K(76288K)] [ParOldGen: 174691K->174809K(175104K)] 240227K->203261K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0205226 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.411+0800: 0.308: [Full GC (Ergonomics) [PSYoungGen: 65536K->34115K(76288K)] [ParOldGen: 174809K->174809K(175104K)] 240345K->208925K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0216883 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.436+0800: 0.333: [Full GC (Ergonomics) [PSYoungGen: 65536K->38359K(76288K)] [ParOldGen: 174809K->174639K(175104K)] 240345K->212998K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0222884 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.462+0800: 0.358: [Full GC (Ergonomics) [PSYoungGen: 65146K->41078K(76288K)] [ParOldGen: 174639K->174262K(175104K)] 239785K->215340K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0209478 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.485+0800: 0.382: [Full GC (Ergonomics) [PSYoungGen: 65405K->46644K(76288K)] [ParOldGen: 174262K->174665K(175104K)] 239667K->221309K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0226906 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.509+0800: 0.406: [Full GC (Ergonomics) [PSYoungGen: 65536K->51464K(76288K)] [ParOldGen: 174665K->174795K(175104K)] 240201K->226259K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0237697 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.535+0800: 0.432: [Full GC (Ergonomics) [PSYoungGen: 65499K->52201K(76288K)] [ParOldGen: 174795K->175054K(175104K)] 240294K->227255K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0254458 secs] [Times: user=0.31 sys=0.00, real=0.03 secs] 
2022-01-17T00:23:38.562+0800: 0.459: [Full GC (Ergonomics) [PSYoungGen: 64965K->54064K(76288K)] [ParOldGen: 175054K->174741K(175104K)] 240019K->228805K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0240690 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.588+0800: 0.484: [Full GC (Ergonomics) [PSYoungGen: 65514K->56296K(76288K)] [ParOldGen: 174741K->174674K(175104K)] 240256K->230970K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0242061 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.613+0800: 0.509: [Full GC (Ergonomics) [PSYoungGen: 65410K->58471K(76288K)] [ParOldGen: 174674K->174700K(175104K)] 240085K->233172K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0237290 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
2022-01-17T00:23:38.638+0800: 0.534: [Full GC (Ergonomics) [PSYoungGen: 65455K->60282K(76288K)] [ParOldGen: 174700K->174092K(175104K)] 240156K->234375K(251392K), [Metaspace: 2702K->2702K(1056768K)], 0.0269806 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
